SLURM_JOBID=71732
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node[16-17]
SLURM_NODELIST=gpn-node[16-17]
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=16
SLURM_NNODES=2
Local work time: 3.103000, worked 2504000,  iter 1, rank 3
Local work time: 3.193998, worked 2563260,  iter 1, rank 10
Local work time: 3.234997, worked 2470200,  iter 1, rank 12
Local work time: 3.246000, worked 2440400,  iter 1, rank 5
Local work time: 3.246000, worked 2479160,  iter 1, rank 7
Local work time: 3.322994, worked 2465100,  iter 1, rank 11
Local work time: 3.396989, worked 2594540,  iter 1, rank 0
Local work time: 3.433000, worked 2511580,  iter 1, rank 8
Local work time: 3.448990, worked 2494240,  iter 1, rank 15
Local work time: 3.486989, worked 2482860,  iter 1, rank 1
Local work time: 3.486987, worked 2524240,  iter 1, rank 4
Local work time: 3.506999, worked 2470960,  iter 1, rank 13
Local work time: 3.509996, worked 2532500,  iter 1, rank 2
Local work time: 3.564000, worked 2512460,  iter 1, rank 9
Local work time: 3.601002, worked 2481920,  iter 1, rank 14
Local work time: 3.610023, worked 2472580,  iter 1, rank 6
Local work time: 2.659970, worked 2494400,  iter 2, rank 5
Local work time: 2.771000, worked 2445580,  iter 2, rank 6
Local work time: 2.770001, worked 2452160,  iter 2, rank 7
Local work time: 2.885000, worked 2477000,  iter 2, rank 3
Local work time: 2.995999, worked 2454920,  iter 2, rank 14
Local work time: 3.082003, worked 2536860,  iter 2, rank 1
Local work time: 3.108981, worked 2567540,  iter 2, rank 0
Local work time: 3.085937, worked 2467240,  iter 2, rank 15
Local work time: 3.210998, worked 2524240,  iter 2, rank 4
Local work time: 3.179999, worked 2465100,  iter 2, rank 11
Local work time: 3.259992, worked 2509260,  iter 2, rank 10
Local work time: 3.394980, worked 2532500,  iter 2, rank 2
Local work time: 3.417981, worked 2578960,  iter 2, rank 13
Local work time: 3.439989, worked 2470200,  iter 2, rank 12
Local work time: 3.554981, worked 2485460,  iter 2, rank 9
Local work time: 3.622998, worked 2538580,  iter 2, rank 8
Local work time: 2.806000, worked 2520940,  iter 3, rank 4
Local work time: 3.011000, worked 2462680,  iter 3, rank 9
Local work time: 3.039999, worked 2502640,  iter 3, rank 11
Local work time: 3.275991, worked 2562020,  iter 3, rank 0
Local work time: 3.278999, worked 2518660,  iter 3, rank 8
Local work time: 3.298000, worked 2505900,  iter 3, rank 15
Local work time: 3.311998, worked 2501980,  iter 3, rank 2
Local work time: 3.314000, worked 2482000,  iter 3, rank 1
Local work time: 3.285000, worked 2514840,  iter 3, rank 7
Local work time: 3.303000, worked 2488580,  iter 3, rank 6
Local work time: 3.356988, worked 2513800,  iter 3, rank 10
Local work time: 3.354001, worked 2480400,  iter 3, rank 5
Local work time: 3.366005, worked 2457920,  iter 3, rank 13
Local work time: 3.455003, worked 2516040,  iter 3, rank 12
Local work time: 3.540001, worked 2493720,  iter 3, rank 14
Local work time: 3.743000, worked 2477880,  iter 3, rank 3
Local work time: 2.610001, worked 2513220,  iter 4, rank 11
Local work time: 2.608008, worked 2484260,  iter 4, rank 5
Local work time: 2.704000, worked 2517380,  iter 4, rank 9
Local work time: 2.781008, worked 2482280,  iter 4, rank 10
Local work time: 2.814069, worked 2534580,  iter 4, rank 6
Local work time: 3.053999, worked 2499520,  iter 4, rank 7
Local work time: 3.085009, worked 2549800,  iter 4, rank 4
Local work time: 3.102000, worked 2527680,  iter 4, rank 12
Local work time: 3.164999, worked 2470980,  iter 4, rank 8
Local work time: 3.078015, worked 2409300,  iter 4, rank 1
Local work time: 3.168000, worked 2465960,  iter 4, rank 3
Local work time: 3.486994, worked 2565860,  iter 4, rank 0
Local work time: 3.441999, worked 2520380,  iter 4, rank 2
Local work time: 3.429001, worked 2434040,  iter 4, rank 13
Local work time: 3.613998, worked 2556420,  iter 4, rank 14
Local work time: 3.664998, worked 2468340,  iter 4, rank 15
Local work time: 2.694002, worked 2500100,  iter 5, rank 3
Local work time: 3.016001, worked 2496700,  iter 5, rank 13
Local work time: 3.110000, worked 2471100,  iter 5, rank 1
Local work time: 3.164001, worked 2533680,  iter 5, rank 11
Local work time: 3.237005, worked 2524340,  iter 5, rank 15
Local work time: 3.344020, worked 2506320,  iter 5, rank 4
Local work time: 3.347000, worked 2508240,  iter 5, rank 14
Local work time: 3.366001, worked 2509120,  iter 5, rank 9
Local work time: 3.428992, worked 2505000,  iter 5, rank 0
Local work time: 3.440000, worked 2495980,  iter 5, rank 10
Local work time: 3.461042, worked 2499280,  iter 5, rank 5
Local work time: 3.420022, worked 2454020,  iter 5, rank 6
Local work time: 3.487000, worked 2462980,  iter 5, rank 2
Local work time: 3.555000, worked 2476500,  iter 5, rank 12
Local work time: 3.583999, worked 2513580,  iter 5, rank 7
Local work time: 3.767001, worked 2543060,  iter 5, rank 8
Local work time: 2.794009, worked 2497940,  iter 6, rank 2
Local work time: 2.826986, worked 2488420,  iter 6, rank 0
Local work time: 2.795000, worked 2512580,  iter 6, rank 10
Local work time: 2.779999, worked 2499060,  iter 6, rank 12
Local work time: 2.870001, worked 2444060,  iter 6, rank 1
Local work time: 2.930999, worked 2538280,  iter 6, rank 11
Local work time: 3.060982, worked 2573440,  iter 6, rank 8
Local work time: 3.170000, worked 2493020,  iter 6, rank 3
Local work time: 3.299993, worked 2512380,  iter 6, rank 15
Local work time: 3.295998, worked 2454180,  iter 6, rank 9
