SLURM_JOBID=71742
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node16
SLURM_NODELIST=gpn-node16
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=8
SLURM_NNODES=1
Local work time: 5.170000, worked 4970040,  iter 1, rank 4
Local work time: 5.141943, worked 4949160,  iter 1, rank 7
Local work time: 5.486989, worked 4991640,  iter 1, rank 2
Local work time: 5.553970, worked 5090500,  iter 1, rank 1
Local work time: 5.317000, worked 4947360,  iter 1, rank 5
Local work time: 5.494001, worked 4978740,  iter 1, rank 3
Local work time: 5.673978, worked 5104400,  iter 1, rank 0
Local work time: 5.609005, worked 4968160,  iter 1, rank 6
Local work time: 5.369998, worked 5082360,  iter 2, rank 5
Local work time: 5.523999, worked 5049160,  iter 2, rank 6
Local work time: 5.560006, worked 4964640,  iter 2, rank 2
Local work time: 5.451002, worked 5009500,  iter 2, rank 1
Local work time: 5.463000, worked 4841160,  iter 2, rank 7
Local work time: 5.573002, worked 4951740,  iter 2, rank 3
Local work time: 5.790005, worked 5077400,  iter 2, rank 0
Local work time: 6.004002, worked 5024040,  iter 2, rank 4
Local work time: 5.198996, worked 4989440,  iter 3, rank 5
Local work time: 5.221170, worked 5008340,  iter 3, rank 4
Local work time: 5.307999, worked 5027960,  iter 3, rank 6
Local work time: 5.330999, worked 5006860,  iter 3, rank 1
Local work time: 5.426978, worked 5017020,  iter 3, rank 0
Local work time: 5.492993, worked 4976420,  iter 3, rank 3
Local work time: 5.543998, worked 5001340,  iter 3, rank 2
Local work time: 5.576000, worked 4972620,  iter 3, rank 7
Local work time: 5.272058, worked 5083160,  iter 4, rank 0
Local work time: 5.362998, worked 4997760,  iter 4, rank 7
Local work time: 5.414000, worked 4953100,  iter 4, rank 3
Local work time: 5.424999, worked 4995500,  iter 4, rank 5
Local work time: 5.544998, worked 5040340,  iter 4, rank 1
Local work time: 5.572997, worked 4980060,  iter 4, rank 2
Local work time: 5.560000, worked 4988720,  iter 4, rank 6
Local work time: 5.648999, worked 4961360,  iter 4, rank 4
Local work time: 5.233995, worked 5003100,  iter 5, rank 0
Local work time: 5.169053, worked 5000200,  iter 5, rank 6
Local work time: 5.232165, worked 5025180,  iter 5, rank 4
Local work time: 5.253997, worked 4967600,  iter 5, rank 3
Local work time: 5.253000, worked 5032580,  iter 5, rank 7
Local work time: 5.315996, worked 5029660,  iter 5, rank 5
Local work time: 5.360000, worked 5017080,  iter 5, rank 1
Local work time: 5.373997, worked 4924600,  iter 5, rank 2
Local work time: 5.170005, worked 4959480,  iter 6, rank 0
Local work time: 5.290979, worked 4981500,  iter 6, rank 2
Local work time: 5.279000, worked 5001780,  iter 6, rank 7
Local work time: 5.342000, worked 5027620,  iter 6, rank 4
Local work time: 5.412991, worked 5050860,  iter 6, rank 5
Local work time: 5.455983, worked 4990960,  iter 6, rank 1
Local work time: 5.620987, worked 4990420,  iter 6, rank 3
Local work time: 5.665999, worked 4997380,  iter 6, rank 6
Local work time: 5.291012, worked 5010800,  iter 7, rank 0
Local work time: 5.236999, worked 5035300,  iter 7, rank 5
Local work time: 5.113018, worked 4953320,  iter 7, rank 6
Local work time: 5.226016, worked 5054440,  iter 7, rank 4
Local work time: 5.112023, worked 4955340,  iter 7, rank 7
Local work time: 5.337999, worked 5088620,  iter 7, rank 1
Local work time: 5.178000, worked 4955100,  iter 7, rank 3
Local work time: 5.394000, worked 4947080,  iter 7, rank 2
Local work time: 5.294006, worked 4984960,  iter 8, rank 3
Local work time: 5.401002, worked 5019020,  iter 8, rank 5
Local work time: 5.513998, worked 4978620,  iter 8, rank 4
Local work time: 5.547999, worked 4985920,  iter 8, rank 1
Local work time: 5.575991, worked 4992480,  iter 8, rank 6
Local work time: 5.682999, worked 5046320,  iter 8, rank 2
Local work time: 5.661003, worked 4958860,  iter 8, rank 7
Local work time: 6.035998, worked 5033820,  iter 8, rank 0
Local work time: 5.309942, worked 4956360,  iter 9, rank 1
Local work time: 5.394998, worked 5001120,  iter 9, rank 7
Local work time: 5.393999, worked 4974680,  iter 9, rank 3
Local work time: 5.547000, worked 5023040,  iter 9, rank 0
Local work time: 5.497997, worked 4999700,  iter 9, rank 5
Local work time: 5.552999, worked 5033640,  iter 9, rank 4
Local work time: 5.576999, worked 4957640,  iter 9, rank 6
Local work time: 5.769991, worked 5053820,  iter 9, rank 2
Local work time: 5.215067, worked 4979960,  iter 10, rank 4
Local work time: 5.237046, worked 5021980,  iter 10, rank 0
Local work time: 5.293878, worked 5059060,  iter 10, rank 6
Local work time: 5.216001, worked 5002680,  iter 10, rank 1
Local work time: 5.406000, worked 5013940,  iter 10, rank 7
Local work time: 5.449000, worked 4982340,  iter 10, rank 5
Local work time: 5.635999, worked 4991960,  iter 10, rank 2
Local work time: 5.489002, worked 4948080,  iter 10, rank 3
Total time: 59.076936
Local work time: 5.219995, worked 4964640,  iter 1, rank 2
Local work time: 5.350994, worked 5050400,  iter 1, rank 0
Local work time: 5.495028, worked 4947360,  iter 1, rank 5
Local work time: 5.521990, worked 5051040,  iter 1, rank 4
Local work time: 5.539993, worked 4976160,  iter 1, rank 7
Local work time: 5.606000, worked 5036500,  iter 1, rank 1
Local work time: 5.822995, worked 4951740,  iter 1, rank 3
Local work time: 5.830994, worked 5022160,  iter 1, rank 6
Local work time: 5.283000, worked 4955500,  iter 2, rank 1
Local work time: 5.262995, worked 5030160,  iter 2, rank 7
Local work time: 5.207077, worked 4924740,  iter 2, rank 3
Local work time: 5.363991, worked 5049160,  iter 2, rank 6
Local work time: 5.452997, worked 5024040,  iter 2, rank 4
Local work time: 5.516999, worked 5050400,  iter 2, rank 0
Local work time: 5.510996, worked 4974360,  iter 2, rank 5
Local work time: 5.454999, worked 4991640,  iter 2, rank 2
Local work time: 5.373999, worked 5108960,  iter 3, rank 6
Local work time: 5.390000, worked 4895420,  iter 3, rank 3
Local work time: 5.597999, worked 4972620,  iter 3, rank 7
Local work time: 5.634999, worked 5071020,  iter 3, rank 0
Local work time: 5.621939, worked 4925860,  iter 3, rank 1
Local work time: 5.547998, worked 5028340,  iter 3, rank 2
Local work time: 5.663006, worked 5062340,  iter 3, rank 4
Local work time: 5.686000, worked 4935440,  iter 3, rank 5
Local work time: 5.460000, worked 4938460,  iter 4, rank 7
Local work time: 5.533995, worked 5007100,  iter 4, rank 3
Local work time: 5.544000, worked 4988360,  iter 4, rank 4
Local work time: 5.560999, worked 5002160,  iter 4, rank 0
Local work time: 5.601999, worked 5048020,  iter 4, rank 6
Local work time: 5.648998, worked 4995500,  iter 4, rank 5
Local work time: 5.691996, worked 5007060,  iter 4, rank 2
Local work time: 5.726999, worked 5013340,  iter 4, rank 1
Local work time: 5.490988, worked 4998180,  iter 5, rank 4
Local work time: 5.492995, worked 5030100,  iter 5, rank 0
Local work time: 5.425998, worked 5056660,  iter 5, rank 5
Local work time: 5.523998, worked 4940600,  iter 5, rank 3
Local work time: 5.635977, worked 5005600,  iter 5, rank 2
Local work time: 5.544000, worked 4978580,  iter 5, rank 7
Local work time: 5.578999, worked 5054200,  iter 5, rank 6
Local work time: 5.741999, worked 4936080,  iter 5, rank 1
Local work time: 5.199992, worked 4963420,  iter 6, rank 3
Local work time: 5.430999, worked 5078380,  iter 6, rank 6
Local work time: 5.386998, worked 4969860,  iter 6, rank 5
Local work time: 5.582998, worked 5008500,  iter 6, rank 2
Local work time: 5.527998, worked 4936960,  iter 6, rank 1
Local work time: 5.599969, worked 5054620,  iter 6, rank 4
Local work time: 5.655994, worked 5001780,  iter 6, rank 7
Local work time: 5.826976, worked 4986480,  iter 6, rank 0
Local work time: 5.166003, worked 4955340,  iter 7, rank 7
Local work time: 5.268998, worked 5047640,  iter 7, rank 6
Local work time: 5.233000, worked 4937320,  iter 7, rank 1
Local work time: 5.363999, worked 4981300,  iter 7, rank 5
Local work time: 5.543999, worked 4987120,  iter 7, rank 4
Local work time: 5.550000, worked 4955100,  iter 7, rank 3
Local work time: 5.684997, worked 5108100,  iter 7, rank 0
Local work time: 5.728002, worked 5028080,  iter 7, rank 2
Local work time: 5.395004, worked 4965480,  iter 8, rank 6
Local work time: 5.448999, worked 5019320,  iter 8, rank 2
Local work time: 5.508001, worked 5011960,  iter 8, rank 3
Local work time: 5.493996, worked 4992020,  iter 8, rank 5
Local work time: 5.534999, worked 4985860,  iter 8, rank 7
Local work time: 5.626998, worked 4985920,  iter 8, rank 1
Local work time: 5.729999, worked 5005620,  iter 8, rank 4
Local work time: 5.848998, worked 5033820,  iter 8, rank 0
Local work time: 5.342994, worked 4974120,  iter 9, rank 7
Local work time: 5.411993, worked 5026820,  iter 9, rank 2
Local work time: 5.433996, worked 5050540,  iter 9, rank 0
Local work time: 5.445007, worked 4984640,  iter 9, rank 6
Local work time: 5.458001, worked 4974680,  iter 9, rank 3
Local work time: 5.541998, worked 4972700,  iter 9, rank 5
Local work time: 5.563999, worked 5060640,  iter 9, rank 4
Local work time: 5.559989, worked 4955860,  iter 9, rank 1
Local work time: 5.252000, worked 5005060,  iter 10, rank 6
Local work time: 5.274000, worked 4948080,  iter 10, rank 3
Local work time: 5.316998, worked 4975680,  iter 10, rank 1
Local work time: 5.373979, worked 4979960,  iter 10, rank 4
Local work time: 5.390000, worked 5045960,  iter 10, rank 2
Local work time: 5.429971, worked 5009340,  iter 10, rank 5
Local work time: 5.482916, worked 5013940,  iter 10, rank 7
Local work time: 5.580990, worked 5021980,  iter 10, rank 0
Total time: 59.755960
Local work time: 5.510978, worked 5094020,  iter 1, rank 7
Local work time: 5.516012, worked 5186040,  iter 1, rank 4
Local work time: 5.533978, worked 4887160,  iter 1, rank 6
Local work time: 5.537982, worked 4905540,  iter 1, rank 0
Local work time: 5.544984, worked 4910640,  iter 1, rank 2
Local work time: 5.588982, worked 4924740,  iter 1, rank 3
Local work time: 5.588967, worked 5109360,  iter 1, rank 5
Local work time: 5.763982, worked 4982500,  iter 1, rank 1
Local work time: 5.388968, worked 5018640,  iter 2, rank 2
Local work time: 5.540992, worked 5009500,  iter 2, rank 1
Local work time: 5.554982, worked 4947360,  iter 2, rank 5
Local work time: 5.608998, worked 5024040,  iter 2, rank 4
Local work time: 5.652972, worked 5077400,  iter 2, rank 0
Local work time: 5.588000, worked 4949160,  iter 2, rank 7
Local work time: 5.651997, worked 4951740,  iter 2, rank 3
Local work time: 5.832997, worked 5022160,  iter 2, rank 6
Local work time: 5.216999, worked 5001340,  iter 3, rank 2
Local work time: 5.150007, worked 4962440,  iter 3, rank 5
Local work time: 5.295999, worked 5027960,  iter 3, rank 6
Local work time: 5.384997, worked 5035340,  iter 3, rank 4
Local work time: 5.414016, worked 5003420,  iter 3, rank 3
Local work time: 5.527970, worked 5071020,  iter 3, rank 0
Local work time: 5.404997, worked 4925860,  iter 3, rank 1
Local work time: 5.482999, worked 4972620,  iter 3, rank 7
Local work time: 5.221076, worked 4970760,  iter 4, rank 7
Local work time: 5.198038, worked 5015720,  iter 4, rank 6
Local work time: 5.382970, worked 4988360,  iter 4, rank 4
Local work time: 5.397962, worked 4995500,  iter 4, rank 5
Local work time: 5.444987, worked 5007060,  iter 4, rank 2
Local work time: 5.486206, worked 5013340,  iter 4, rank 1
