SLURM_JOBID=71772
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node[16-17]
SLURM_NODELIST=gpn-node[16-17]
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=16
SLURM_NNODES=2
Local work time: 1.353176, worked 1331420, iter 1, rank 7
Local work time: 1.363994, worked 1340180, iter 1, rank 8
Local work time: 1.430433, worked 1409780, iter 1, rank 6
Local work time: 1.462962, worked 1440880, iter 1, rank 9
Local work time: 1.712953, worked 1694220, iter 1, rank 5
Local work time: 1.721261, worked 1702200, iter 1, rank 10
Local work time: 2.159290, worked 2143060, iter 1, rank 11
Local work time: 2.166741, worked 2149740, iter 1, rank 4
Local work time: 2.644214, worked 2631940, iter 1, rank 12
Local work time: 2.669808, worked 2657540, iter 1, rank 3
Local work time: 3.156462, worked 3145320, iter 1, rank 13
Local work time: 3.159126, worked 3146060, iter 1, rank 2
Local work time: 3.638386, worked 3612080, iter 1, rank 14
Local work time: 3.681654, worked 3670120, iter 1, rank 1
Local work time: 3.967173, worked 3941840, iter 1, rank 15
Local work time: 3.995203, worked 3983620, iter 1, rank 0
Local work time: 1.355311, worked 1332000, iter 2, rank 10
Local work time: 1.382417, worked 1359640, iter 2, rank 9
Local work time: 1.389899, worked 1366780, iter 2, rank 8
Local work time: 1.543859, worked 1522460, iter 2, rank 11
Local work time: 1.597854, worked 1576940, iter 2, rank 7
Local work time: 1.879669, worked 1862280, iter 2, rank 12
Local work time: 1.963269, worked 1945060, iter 2, rank 6
Local work time: 2.343575, worked 2327980, iter 2, rank 13
Local work time: 2.432848, worked 2417960, iter 2, rank 5
Local work time: 2.874310, worked 2848060, iter 2, rank 14
Local work time: 2.975199, worked 2960600, iter 2, rank 4
Local work time: 3.355939, worked 3332500, iter 2, rank 15
Local work time: 3.466157, worked 3454300, iter 2, rank 3
Local work time: 3.802268, worked 3791980, iter 2, rank 0
Local work time: 3.839409, worked 3827600, iter 2, rank 2
Local work time: 4.084783, worked 4073860, iter 2, rank 1
Local work time: 1.355607, worked 1331600, iter 3, rank 10
Local work time: 1.360249, worked 1338240, iter 3, rank 11
Local work time: 1.397037, worked 1373600, iter 3, rank 12
Local work time: 1.495932, worked 1473280, iter 3, rank 9
Local work time: 1.667172, worked 1646040, iter 3, rank 13
Local work time: 1.791349, worked 1771540, iter 3, rank 8
Local work time: 2.089059, worked 2060700, iter 3, rank 14
Local work time: 2.266799, worked 2249040, iter 3, rank 7
Local work time: 2.563793, worked 2540560, iter 3, rank 15
