SLURM_JOBID=71755
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node16
SLURM_NODELIST=gpn-node16
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=8
SLURM_NNODES=1
Local work time: 2.789854, worked 2741200, iter 1, rank 3
Local work time: 2.829425, worked 2781060, iter 1, rank 4
Local work time: 3.881400, worked 3845260, iter 1, rank 5
Local work time: 3.885335, worked 3843960, iter 1, rank 2
Local work time: 5.804067, worked 5777260, iter 1, rank 6
Local work time: 5.831500, worked 5803600, iter 1, rank 1
Local work time: 7.577998, worked 7553920, iter 1, rank 7
Local work time: 7.677455, worked 7653740, iter 1, rank 0
Local work time: 2.776776, worked 2726420, iter 2, rank 4
Local work time: 2.905312, worked 2854460, iter 2, rank 5
Local work time: 3.566404, worked 3522000, iter 2, rank 3
Local work time: 4.224934, worked 4190260, iter 2, rank 6
Local work time: 5.412838, worked 5378560, iter 2, rank 2
Local work time: 6.207929, worked 6180560, iter 2, rank 7
Local work time: 7.308333, worked 7281900, iter 2, rank 1
Local work time: 7.889634, worked 7865840, iter 2, rank 0
Local work time: 2.722844, worked 2669840, iter 3, rank 5
Local work time: 3.066183, worked 3019640, iter 3, rank 6
Local work time: 3.292178, worked 3244820, iter 3, rank 4
Local work time: 4.633994, worked 4601260, iter 3, rank 7
Local work time: 5.032347, worked 4998260, iter 3, rank 3
Local work time: 6.596732, worked 6569380, iter 3, rank 0
Local work time: 7.015964, worked 6988500, iter 3, rank 2
Local work time: 7.931442, worked 7908300, iter 3, rank 1
Local work time: 2.758053, worked 2707440, iter 4, rank 6
Local work time: 3.079362, worked 3029980, iter 4, rank 5
Local work time: 3.288701, worked 3244120, iter 4, rank 7
Local work time: 4.627253, worked 4589840, iter 4, rank 4
Local work time: 5.032568, worked 5000560, iter 4, rank 0
Local work time: 6.634370, worked 6607300, iter 4, rank 3
Local work time: 6.941161, worked 6914780, iter 4, rank 1
Local work time: 7.930414, worked 7905980, iter 4, rank 2
Local work time: 2.761887, worked 2711280, iter 5, rank 7
Local work time: 2.922637, worked 2874080, iter 5, rank 6
Local work time: 3.575506, worked 3534500, iter 5, rank 0
Local work time: 4.271814, worked 4231520, iter 5, rank 5
Local work time: 5.401619, worked 5373560, iter 5, rank 1
Local work time: 6.220456, worked 6189340, iter 5, rank 4
Local work time: 7.301659, worked 7277320, iter 5, rank 2
Local work time: 7.832358, worked 7808400, iter 5, rank 3
Local work time: 2.792877, worked 2744560, iter 6, rank 7
Local work time: 2.800231, worked 2749720, iter 6, rank 0
Local work time: 3.899909, worked 3864180, iter 6, rank 1
Local work time: 3.912540, worked 3870160, iter 6, rank 6
Local work time: 5.827335, worked 5799200, iter 6, rank 2
Local work time: 5.834140, worked 5802600, iter 6, rank 5
Local work time: 7.564197, worked 7539440, iter 6, rank 3
Local work time: 7.655358, worked 7630140, iter 6, rank 4
Local work time: 2.785065, worked 2732260, iter 7, rank 0
Local work time: 2.940849, worked 2890900, iter 7, rank 1
Local work time: 3.624767, worked 3581580, iter 7, rank 7
Local work time: 4.235944, worked 4199540, iter 7, rank 2
Local work time: 5.421673, worked 5388340, iter 7, rank 6
Local work time: 6.220039, worked 6193840, iter 7, rank 3
Local work time: 7.268256, worked 7240400, iter 7, rank 5
Local work time: 7.795921, worked 7773140, iter 7, rank 4
Local work time: 2.734318, worked 2682360, iter 8, rank 1
Local work time: 3.088166, worked 3042520, iter 8, rank 2
Local work time: 3.353628, worked 3308860, iter 8, rank 0
